"Measure","Year","Ethnicity","Sex","Threshold","Mean","Value","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Anxiety","2018","White Gypsy / Traveller ","All","High","N/A","?","?","?","-"
"Anxiety","2018","Mixed","All","High","N/A","21.44","25","17.88","-"
"Anxiety","2018","Indian","All","High","N/A","17.73","19.68","15.78","-"
"Anxiety","2018","Pakistani","All","High","N/A","20.01","22.6","17.43","-"
"Anxiety","2018","Bangladeshi","All","High","N/A","17.06","20.85","13.27","-"
"Anxiety","2018","Chinese","All","High","N/A","18.09","23.38","12.79","-"
"Anxiety","2018","Asian other","All","High","N/A","18.37","21.79","14.95","-"
"Anxiety","2018","Black","All","High","N/A","18.55","20.47","16.62","-"
"Anxiety","2018","Arab","All","High","N/A","25.81","32.14","19.49","-"
"Anxiety","2018","Other ","All","High","N/A","20","23.05","16.95","-"
"Anxiety","2018","White","All","Medium","N/A","15.93","16.21","15.66","-"
"Anxiety","2018","White Gypsy / Traveller ","All","Medium","N/A","?","?","?","-"
"Anxiety","2018","Mixed","All","Medium","N/A","17.79","20.78","14.79","-"
"Anxiety","2018","Indian","All","Medium","N/A","18.02","20.16","15.89","-"
"Anxiety","2018","Pakistani","All","Medium","N/A","15.21","17.38","13.04","-"
"Anxiety","2018","Bangladeshi","All","Medium","N/A","15.37","19.21","11.52","-"
"Anxiety","2018","Chinese","All","Medium","N/A","22.5","27.36","17.64","-"
"Anxiety","2018","Asian other","All","Medium","N/A","13.95","16.57","11.32","-"
"Anxiety","2018","Black","All","Medium","N/A","16.07","17.76","14.38","-"
"Anxiety","2018","Arab","All","Medium","N/A","19","24.54","13.45","-"
"Anxiety","2018","Other ","All","Medium","N/A","18.56","21.73","15.4","-"
"Anxiety","2018","White","All","Low","N/A","23.07","23.39","22.76","-"
"Anxiety","2018","White Gypsy / Traveller ","All","Low","N/A","?","?","?","-"
"Anxiety","2018","Mixed","All","Low","N/A","23.34","26.69","19.99","-"
"Anxiety","2018","Indian","All","Low","N/A","24.6","26.85","22.35","-"
"Anxiety","2018","Pakistani","All","Low","N/A","21.54","24.25","18.83","-"
"Anxiety","2018","Bangladeshi","All","Low","N/A","24.05","28.69","19.41","-"
"Anxiety","2018","Chinese","All","Low","N/A","24.16","28.72","19.59","-"
"Anxiety","2018","Asian other","All","Low","N/A","25.7","29.26","22.15","-"
"Anxiety","2018","Black","All","Low","N/A","21.34","23.26","19.42","-"
"Anxiety","2018","Arab","All","Low","N/A","22.63","29.32","15.95","-"
"Anxiety","2018","Other ","All","Low","N/A","25.13","28.51","21.75","-"
"Anxiety","2018","White","All","Very_Low","N/A","41.27","41.64","40.89","-"
"Anxiety","2018","White Gypsy / Traveller ","All","Very_Low","N/A","?","?","?","-"
"Anxiety","2018","Mixed","All","Very_Low","N/A","37.44","41.29","33.58","-"
"Anxiety","2018","Indian","All","Very_Low","N/A","39.65","42.29","37","-"
"Anxiety","2018","Pakistani","All","Very_Low","N/A","43.24","46.49","39.98","-"
"Anxiety","2018","Bangladeshi","All","Very_Low","N/A","43.53","48.84","38.21","-"
"Anxiety","2018","Chinese","All","Very_Low","N/A","35.25","40.63","29.88","-"
"Anxiety","2018","Asian other","All","Very_Low","N/A","41.98","46.08","37.87","-"
"Anxiety","2018","Black","All","Very_Low","N/A","44.04","46.47","41.62","-"
"Anxiety","2018","Arab","All","Very_Low","N/A","32.55","40.24","24.87","-"
"Anxiety","2018","Other ","All","Very_Low","N/A","36.31","40.07","32.55","-"
"Anxiety","2012","All","All","High","N/A","20.89","21.15","20.63",""
"Anxiety","2013","All","All","High","N/A","20.07","20.33","19.81",""
"Anxiety","2014","All","All","High","N/A","19.67","19.93","19.41",""
"Anxiety","2015","All","All","High","N/A","19","19.52","19",""
"Anxiety","2016","All","All","High","N/A","19.7","19.97","19.43",""
"Anxiety","2017","All","All","High","N/A","20.1","20.37","19.82",""
"Anxiety","2018","All","All","High","N/A","19.66","19.95","19.38",""
"Anxiety","2012","All","All","Medium","N/A","17.67","17.91","17.42",""
"Anxiety","2013","All","All","Medium","N/A","16.96","17.2","16.72",""
"Anxiety","2014","All","All","Medium","N/A","16.58","16.82","16.34",""
"Anxiety","2015","All","All","Medium","N/A","16.29","16.79","16.29",""
"Anxiety","2016","All","All","Medium","N/A","16.57","16.82","16.31",""
"Anxiety","2017","All","All","Medium","N/A","16.63","16.89","16.37",""
"Anxiety","2018","All","All","Medium","N/A","16.05","16.31","15.79",""
"Anxiety","2012","All","All","Low","N/A","23.39","23.66","23.11",""
"Anxiety","2013","All","All","Low","N/A","23.76","24.04","23.48",""
"Anxiety","2014","All","All","Low","N/A","23.25","23.53","22.97",""
"Anxiety","2015","All","All","Low","N/A","22.95","23.52","22.95",""
"Anxiety","2016","All","All","Low","N/A","23.4","23.7","23.11",""
"Anxiety","2017","All","All","Low","N/A","23.06","23.35","22.77",""
"Anxiety","2018","All","All","Low","N/A","23.09","23.4","22.79",""
"Anxiety","2012","All","All","Very_Low","N/A","38.05","38.37","37.74",""
"Anxiety","2013","All","All","Very_Low","N/A","39.22","39.54","38.89",""
"Anxiety","2014","All","All","Very_Low","N/A","40.49","40.82","40.16",""
"Anxiety","2015","All","All","Very_Low","N/A","40.62","41.3","40.62",""
"Anxiety","2016","All","All","Very_Low","N/A","40.33","40.67","39.99",""
"Anxiety","2017","All","All","Very_Low","N/A","40.21","40.56","39.87",""
"Anxiety","2018","All","All","Very_Low","N/A","41.19","41.55","40.83",""
